title,content
공통 - 핵심 역량 목표 수립,
공통 - 핵심 역량 목표 달성률 평가,
공통 - AI 활용 원칙 수립,
공통 - 이번 주 할 일(업무) 검토,
공통 - WIL(What I Learned) 작성,
공통 - 팀 협업 룰/팁 정리 및 합의,
basic - 파이썬 문법 - 리스트와 딕셔너리 활용,
basic - 배열 - 2차원 배열 회전,
basic - 문자열 - 회문(Palindrome) 판별,
basic - 완전탐색 - 두 수의 합 찾기,
basic - 재귀함수 - 팩토리얼과 피보나치,
basic - 백트랙킹 - 조합 생성,
basic - 복잡도 - 중복 원소 찾기 (3가지 방법),
basic - 정렬 - 버블 정렬 구현,
basic - 정렬 - 삽입 정렬 구현,
basic - 정수론 - 최대공약수(GCD)와 최소공배수(LCM),
파이썬 문법 - 최댓값,https://www.acmicpc.net/problem/2562
배열 - 평균은 넘겠지,https://www.acmicpc.net/problem/4344
문자열 - 문자열 반복,https://www.acmicpc.net/problem/2675
문자열 - 단어 공부,https://www.acmicpc.net/problem/1157
재귀함수 - 재귀함수가 뭔가요?,https://www.acmicpc.net/problem/17478
정수론 - 소수 찾기,https://www.acmicpc.net/problem/1978
문자열 - IPv6,https://www.acmicpc.net/problem/3107
완전탐색 - 차이를 최대로,https://www.acmicpc.net/problem/10819
재귀함수 - 하노이 탑,https://www.acmicpc.net/problem/1914
백트래킹 - 외판원 순회 2,https://www.acmicpc.net/problem/10971
백트래킹 - N-Queen,https://www.acmicpc.net/problem/9663
정수론 - 골드바흐의 추측,https://www.acmicpc.net/problem/9020
문자열 - 광고,https://www.acmicpc.net/problem/1305
백트래킹 - 비숍,https://www.acmicpc.net/problem/1799
정수론 - 제곱 ㄴㄴ 수,https://www.acmicpc.net/problem/1016
Extra - 배열 - H-Index,https://leetcode.com/problems/h-index/?envType=study-plan-v2&envId=top-interview-150
Extra - 백트래킹 - Word Search,https://leetcode.com/problems/word-search/description/?envType=study-plan-v2&envId=top-interview-150
Extra - 정수론 - Factorial Trailing Zeroes,https://leetcode.com/problems/factorial-trailing-zeroes/?envType=study-plan-v2&envId=top-interview-150
Extra - 정수론 - Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/?envType=study-plan-v2&envId=top-interview-150
Extra - 배열 - Candy,https://leetcode.com/problems/candy/?envType=study-plan-v2&envId=top-interview-150
