title,content
공통 - 핵심 역량 목표 수립,
공통 - 핵심 역량 목표 달성률 평가,
공통 - AI 활용 원칙 수립,
공통 - 이번 주 할 일(업무) 검토,
공통 - WIL(What I Learned) 작성,
공통 - 팀 협업 룰/팁 정리 및 합의,
학습 - 네트워크 개념 & TCP/IP 계층,
학습 - 소켓과 소켓 인터페이스 (socket & bind & listen & accept & connect & close),
학습 - 클라이언트-서버 모델 이해,
학습 - 파일 디스크립터,
학습 - Datagram Socket vs Stream Socket,
학습 - 웹서버,
학습 - 웹컨텐츠 이해 (MIME type & 정적 & 동적 & CGI),
학습 - HTTP 이해 (요청/응답 & 헤더 & 메소드 & 상태코드 & HEAD 메소드),
학습 - 프록시 서버 이해,
구현 - echo서버 - open_clientfd(),
구현 - echo서버 - open_listenfd(),
구현 - echo서버 - 클라이언트 main(),
구현 - echo서버 - 서버 main(),
구현 - echo서버 - 서버 echo(),
테스트 - echo서버 - telnet 접속 > 입력내용 > 입력내용을 응답으로 출력,
구현 - tiny서버 - main(),
구현 - tiny서버 - doit(),
구현 - tiny서버 - read_requesthdrs(),
구현 - tiny서버 - parse_uri(),
구현 - tiny서버 - serve_static(),
구현 - tiny서버 - serve_dynamic(),
구현 - tiny서버 - get_filetype(),
구현 - tiny서버 - clienterror(),
구현 - tiny서버 - cgi adder 구현,
테스트 - tiny서버 - telnet으로 tiny의 http 버전 정보 확인,
테스트 - tiny서버 - 브라우저에서 home.html 요청/응답 확인,
테스트 - tiny서버 - 브라우저에서 cgi-bin/adder?123&456 요청/응답 확인
구현 - proxy서버 - 웹 프록시 (순차적 처리),
구현 - proxy서버 - 동시병렬 처리,
구현 - proxy서버 - 캐싱 웹오브젝트,
테스트 - proxy서버 - PC 네트워크 설정 > 프록시 설정,
테스트 - proxy서버 - 로컬 > 프록시 > tiny home.html 요청 (성공),
테스트 - proxy서버 - 원격 프록시 서버 중지후, 로컬 > 프록시 > tiny home.html 요청 (실패),
테스트 - proxy서버 - 요청 순차적 처리 (basic test) ,
테스트 - proxy서버 - 요청 동시병렬 처리 (concurrency test) ,
테스트 - proxy서버 - 요청 캐싱 처리 (cache test) ,

